0x10490 <main>:	addi	sp,sp,-64
0x10492 <main+2>:	sd	s0,56(sp)
0x10494 <main+4>:	addi	s0,sp,64
0x10496 <main+6>:	mv	a5,a0
0x10498 <main+8>:	sd	a1,-64(s0)
0x1049c <main+12>:	sw	a5,-52(s0)
0x104a0 <main+16>:	lui	a5,0x10
0x104a2 <main+18>:	addi	a5,a5,1360
0x104a6 <main+22>:	ld	a4,0(a5)
0x104a8 <main+24>:	sd	a4,-40(s0)
0x104ac <main+28>:	ld	a5,8(a5)
0x104ae <main+30>:	sd	a5,-32(s0)
0x104b2 <main+34>:	sw	zero,-20(s0)
0x104b6 <main+38>:	sw	zero,-24(s0)
0x104ba <main+42>:	j	0x104de <main+78>
0x104de <main+78>:	lw	a5,-24(s0)
0x104e2 <main+82>:	sext.w	a4,a5
0x104e6 <main+86>:	li	a5,3
0x104e8 <main+88>:	bge	a5,a4,0x104bc <main+44>
0x104bc <main+44>:	lw	a5,-24(s0)
0x104c0 <main+48>:	slli	a5,a5,0x2
0x104c2 <main+50>:	addi	a5,a5,-16
0x104c4 <main+52>:	add	a5,a5,s0
0x104c6 <main+54>:	lw	a5,-24(a5)
0x104ca <main+58>:	lw	a4,-20(s0)
0x104ce <main+62>:	addw	a5,a5,a4
0x104d0 <main+64>:	sw	a5,-20(s0)
0x104d4 <main+68>:	lw	a5,-24(s0)
0x104d8 <main+72>:	addiw	a5,a5,1
0x104da <main+74>:	sw	a5,-24(s0)
0x104de <main+78>:	lw	a5,-24(s0)
0x104e2 <main+82>:	sext.w	a4,a5
0x104e6 <main+86>:	li	a5,3
0x104e8 <main+88>:	bge	a5,a4,0x104bc <main+44>
0x104bc <main+44>:	lw	a5,-24(s0)
0x104c0 <main+48>:	slli	a5,a5,0x2
0x104c2 <main+50>:	addi	a5,a5,-16
0x104c4 <main+52>:	add	a5,a5,s0
0x104c6 <main+54>:	lw	a5,-24(a5)
0x104ca <main+58>:	lw	a4,-20(s0)
0x104ce <main+62>:	addw	a5,a5,a4
0x104d0 <main+64>:	sw	a5,-20(s0)
0x104d4 <main+68>:	lw	a5,-24(s0)
0x104d8 <main+72>:	addiw	a5,a5,1
0x104da <main+74>:	sw	a5,-24(s0)
0x104de <main+78>:	lw	a5,-24(s0)
0x104e2 <main+82>:	sext.w	a4,a5
0x104e6 <main+86>:	li	a5,3
0x104e8 <main+88>:	bge	a5,a4,0x104bc <main+44>
0x104bc <main+44>:	lw	a5,-24(s0)
0x104c0 <main+48>:	slli	a5,a5,0x2
0x104c2 <main+50>:	addi	a5,a5,-16
0x104c4 <main+52>:	add	a5,a5,s0
0x104c6 <main+54>:	lw	a5,-24(a5)
0x104ca <main+58>:	lw	a4,-20(s0)
0x104ce <main+62>:	addw	a5,a5,a4
0x104d0 <main+64>:	sw	a5,-20(s0)
0x104d4 <main+68>:	lw	a5,-24(s0)
0x104d8 <main+72>:	addiw	a5,a5,1
0x104da <main+74>:	sw	a5,-24(s0)
0x104de <main+78>:	lw	a5,-24(s0)
0x104e2 <main+82>:	sext.w	a4,a5
0x104e6 <main+86>:	li	a5,3
0x104e8 <main+88>:	bge	a5,a4,0x104bc <main+44>
0x104bc <main+44>:	lw	a5,-24(s0)
0x104c0 <main+48>:	slli	a5,a5,0x2
0x104c2 <main+50>:	addi	a5,a5,-16
0x104c4 <main+52>:	add	a5,a5,s0
0x104c6 <main+54>:	lw	a5,-24(a5)
0x104ca <main+58>:	lw	a4,-20(s0)
0x104ce <main+62>:	addw	a5,a5,a4
0x104d0 <main+64>:	sw	a5,-20(s0)
0x104d4 <main+68>:	lw	a5,-24(s0)
0x104d8 <main+72>:	addiw	a5,a5,1
0x104da <main+74>:	sw	a5,-24(s0)
0x104de <main+78>:	lw	a5,-24(s0)
0x104e2 <main+82>:	sext.w	a4,a5
0x104e6 <main+86>:	li	a5,3
0x104e8 <main+88>:	bge	a5,a4,0x104bc <main+44>
0x104ec <main+92>:	li	a5,0
0x104ee <main+94>:	mv	a0,a5
0x104f0 <main+96>:	ld	s0,56(sp)
0x104f2 <main+98>:	addi	sp,sp,64
0x104f4 <main+100>:	ret
0x400083e74c <__libc_start_main+134>:	jal	ra,0x400084f2a6 <__GI_exit>
